kode_existing;nama_toko;brand_kompetitor;alamat;lat;lng;sumber_data;catatan
R23079;TK MADURA NAWAWI;TKO;JL KEMBANGAN UTARA;-6.1728182;106.7332579;Internal;
R23116;WR SUMBER REJEKI;TKO;JL FLAMBOYAN KEMBANGAN UTARA;-6.1641264;106.7481275;Internal;
R23409;TK NINOK ALANSYAH;TKO;JL MUCHTAR RAYA (SEBRANG WARKOP BERKAH);-6.1795741;106.7362612;Internal;
R23461;TK NENG RAYA;TKO;JL SAWAH BALONG;-6.2104257;106.7529232;Internal;
R23731;TK MADURA PAK HERDI;TKO;JL H JUHRI;-6.210376;106.732317;Internal;
R23831;TK UCOK ARMAN NASUTION;TKO;JL H MERIN RT03/RW04 NO.13B (SAMPING IDA COLECTION);-6.2066727;106.7354028;Internal;
R24101;TOKO IPUNG;TKO;JL GG H BADUL RT03/RW02;-6.2120002;106.7360542;Internal;
R24207;TOKO WANTO;TKO;JL KARYA USAHA NO.49A SRENGSENG;-6.2141514;106.7602216;Internal;
R24299;TOKO TOHA;TKO;JL H SAANAN GG CEMEN;-6.1769567;106.7361567;Internal;
R24303;WARUNG MDR AL GUFRON;TKO;JL MASJID AT TAQWA UTAMA ,KEMBANGAN UTARA;-6.1753973;106.7376218;Internal;
R24317;TOKO BISRI;TKO;JL H MADING;-6.1801752;106.7371064;Internal;
R24340;TOKO IDA;TKO;JL KH AJA RT7 RW7;-6.2041303;106.7422681;Internal;
R24355;WARKOP AVORY;TKO;JL H JUHRI;-6.2112765;106.7372652;Internal;
R24368;TOKO DOA IBU;TKO;JL BAZOKA RAYA (DEPAN BINTANG COLECTION);-6.2242394;106.7261616;Internal;
R24443;WARUNG CAMELIA;TKO;JL LANGGAR;-6.2171012;106.7534234;Internal;
R24619;TOKO TINGKAT AKANG;TKO;JL KARTIKA ,MERUYA SELATAN;-6.2056952;106.7356227;Internal;
R24623;TOKO UCOK SIREGAR;TKO;JL NUSA INDAH;-6.1850305;106.7276619;Internal;
R24664;TOKO ALFARIZI;TKO;JL KOMPLEK UNILEVER (DEPAN SMP AL AZAR );-6.2151235;106.7273808;Internal;
R24720;TOKO RAFA SRENGSENG;TKO;JL SAWAH BALONG SRENGSENG;-6.2095011;106.7572291;Internal;
R24726;WR RYAN JAYA;TKO;JL SAWAH BALONG SRENGSENG;-6.209331;106.7574243;Internal;
R24740;TOKO MELDI;TKO;JL KINTAMANI RAYA (DEPAN RICHEESE);-6.21687;106.7600654;Internal;
R24901;TOKO MAKMUR JAYA;TKO;JL MANDOR SALIM SRENGSENG;-6.1844355;106.75484;Internal;
R24963;WARUNG IBU;TKO;JL H NABET;-6.1865327;106.7564901;Internal;
R24974;TOKO DAFID RANGGA PUTRA MADURA;TKO;JL H NABET;-6.1877583;106.7565783;Internal;
R24991;TOKO DIANA;TKO;JL H BRITI;-6.1995466;106.7212371;Internal;
R25002;TOKO MADURA SAMSUL;TKO;JL MASJID ATTAQWA;-6.1860166;106.7298045;Internal;
R25065;WR MADURA YANI ARFAN;TKO;JALAN KARTIKA;-6.2058867;106.7357693;Internal;
R25095;WR MADURA TATA MAREM;TKO;JL JOGLO BARU;-6.2200843;106.7214343;Internal;
R25203;TOKO BANG JUN;TKO;JL H TOHIR;-6.1939668;106.7292117;Internal;
R25249;WR PAK HAMIM;TKO;JL SWAKARYA;-6.2051839;106.7371801;Internal;
R25264;TOKO KELONTONG AULIA;TKO;JL H LEBAR;-6.2108897;106.7382457;Internal;
R25278;TOKO AGENG;TKO;JL MANUNGGAL;-6.207268;106.7419067;Internal;
R25306;TOKO LAYLA ALFIE 1;TKO;JL H SELONG GG BUBUR;-6.1850305;106.7276619;Internal;
R25404;TOKO RENDI;TKO;JALAN PONDOK CABE;-6.1803319;106.7318338;Internal;
R25449;TOKO INDAH 3;TKO;JL B BASMOL;-6.1616127;106.7483627;Internal;
R25517;SATOS CELL;TKO;JL H. SAANAN GG CEMEN;-6.1775209;106.7361986;Internal;
R25780;WR KASEP;TKO;JL BASOKA 1;-6.2236131;106.7297736;Internal;
R25894;WR MADURA SAMSUL;TKO;JL KOMP DKI JOGLO;-6.2230901;106.7334157;Internal;
R25901;TOKO ZAKI;TKO;JL KEDAUNG RAYA;-6.2239705;106.7322201;Internal;
R25928;WR SUMBER REZEKI 1;TKO;JL KARTIKA;-6.2038518;106.7353798;Internal;
R26035;TOKO RAFIS;TKO;JL SRENGSENG RAYA;-6.2137863;106.759571;Internal;
R26315;AGEN YOGA 2;TKO;JL KAMPUNG BARU KEMBANGAN UTARA;-6.1679853;106.7492365;Internal;
R26399;TOKO BERKAH DOA IBU;TKO;JL MUKHTAR RAYA;-6.2241054;106.7374772;Internal;
R26407;WR NAURA MADURA;TKO;JL H. LIUN;-6.226443;106.73452;Internal;
R26412;TOKO FAJAR;TKO;JL H. LIUN;-6.2231847;106.7364767;Internal;
R26549;WR PAK IWAN;TKO;JL H. KELIK;-6.2104189;106.7589797;Internal;
R26670;WARUNG TATA;TKO;JL H MADING;-6.1795351;106.7363891;Internal;
R26695;TOKO USNA;TKO;KP SALO;-6.16341;106.7538609;Internal;
R26732;RAFANI 4;TKO;JL CEMPAKA RAYA;-6.160781;106.7467822;Internal;
R26792;WR MADURA TITIS TESA;TKO;JL H LEBAR;-6.2111452;106.7404475;Internal;
R27053;TOKO MADURA RISQIANA;TKO;JL LAPANGAN BOLA;-6.2019253;106.7601119;Internal;
R27137;TOKO LUBIS;TKO;GG H. JAPAR;-6.1995513;106.7213574;Internal;
R27383;GREEN APPLE;TKO;JL PASANGRAHAN NO.54 RT2 RW7 KEMBANGAN SELATAN;-6.1893004;106.7554579;Internal;
R27492;TOKO BORU NASUTION;TKO;JL H MASIM;-6.20202;106.734234;Internal;
R27653;TOKO RAMDHAN;TKO;JL H JUHRI;-6.21088;106.734471;Internal;
R27806;TOKO MINAN;TKO;JL MURNI JOGLO;-6.215734;106.729062;Internal;
R27985;TOKO SIREGAR DURI KOSAMBI;TKO;JL. RAYA DURI KOSAMBI;-6.1781001;106.7479945;Internal;
R28065;TOKO MM MASAGENAE;TKO;JL H MUCHTAR RAYA;-6.226443;106.73452;Internal;
R28432;TOKO PUTRI BAROKAH 2;TKO;JL.H.LIUN;-6.2216788;106.7373119;Internal;
R28726;RESTU ONLINE SHOP;TKO;JL KAVLING DKI NO.59A;-6.2057962;106.7349163;Internal;
R28931;AL FAZZA;TKO;JL RAYA CIBUNGBULANG KP CIPAKEL;-6.1799309;106.7493585;Internal;
R29568;SD JISC JOGLO;TKO;JL RUDAL V NO.16 RT1 RW6 ,JOGLO ,JAKARTA BARAT;-6.2231083;106.7224962;Internal;
R31392;TOKO MUHAMAD;TKO;JL GG H KUTONG;-6.2156441;106.7369801;Internal;
R31456;TOKO ERIKA;TKO;GANG HAJI NAIM KENCANA 1;-6.1818684;106.7356047;Internal;
R31460;TOKO SUMBER MAKMUR G;TKO;GANG HAJI PAIH NO 15;-6.1807001;106.7369636;Internal;
R31504;TOKO AIS;TKO;JL KEMBANGAN UTARA;-6.1824541;106.7363113;Internal;
R31588;TOKO AIMAN G;TKO;JL KH HASYIM;-6.1822334;106.7313266;Internal;
R31605;TOKO MADURA MART G;TKO;SRENGAENG;-6.2040443;106.7576919;Internal;
R31624;TOKO DIAN 1;TKO;JL KRIDOREN;-6.1860166;106.7298045;Internal;
R31632;GHOUSE MINIMART;TKO;JL KENARI NO.12 LARANGAN INDAH ,KECAMATAN LARANGAN;-6.226443;106.73452;Internal;
R31636;TOKO ARIL;TKO;JL KH AJA;-6.204155;106.7422948;Internal;
R31661;TOKO NIRWANA G;TKO;JL KOMPAS NO 15;-6.1753152;106.7334621;Internal;
R31685;TOKO RISKI;TKO;JL ADHY KARYA;-6.1799169;106.7550013;Internal;
R31743;TOKO HASYIM;TKO;JL HASIM NO 36;-6.2010616;106.7343547;Internal;
R31802;TOKO KHOLIS;TKO;JL H MADING;-6.1825718;106.7361699;Internal;
